,0
382,-12284.0
383,-12417.25
384,-12277.5
385,-12380.25
386,-12334.25
387,-12122.25
388,-12232.75
389,-12073.0
390,-12194.25
391,-12251.5
392,-12382.25
393,-12597.0
394,-12755.75
395,-12601.0
396,-12402.0
397,-12478.75
398,-12430.25
399,-12285.25
400,-11922.0
401,-11722.0
402,-11995.0
403,-12020.75
404,-12034.0
405,-12068.0
406,-12027.0
407,-12088.0
408,-11621.5
409,-11830.75
410,-11681.75
411,-11838.5
412,-12148.0
413,-12266.75
414,-12417.25
415,-12324.25
416,-12325.25
417,-12476.75
418,-12612.0
419,-12584.75
420,-12433.5
421,-12370.25
422,-12344.5
423,-12101.0
424,-11812.0
425,-12093.75
426,-11926.25
427,-12004.0
428,-11846.25
429,-11782.25
430,-11748.5
431,-11644.0
432,-11487.0
433,-11545.25
434,-11746.75
435,-12029.5
436,-11903.25
437,-12289.5
438,-12632.25
439,-12733.75
440,-12541.5
441,-12491.5
442,-12355.0
443,-11999.5
444,-12030.75
445,-12159.25
446,-12077.75
447,-12223.75
448,-12019.0
449,-12051.75
450,-11978.25
451,-12200.25
452,-12122.0
453,-11979.5
454,-11965.5
455,-11971.0
456,-11841.5
457,-11886.5
458,-12188.75
459,-12410.0
460,-12557.5
461,-12508.5
462,-12334.0
463,-12221.25
464,-12224.75
465,-12350.5
466,-12338.0
467,-12323.5
468,-12389.75
469,-12207.25
470,-11980.75
471,-11985.75
472,-11962.75
473,-12075.5
474,-12267.25
475,-12384.5
476,-12835.5
477,-12648.5
478,-12638.25
479,-12293.0
480,-12194.25
481,-12297.25
482,-12180.0
483,-12336.5
484,-12460.25
485,-12439.5
486,-12465.5
487,-12433.0
488,-12549.0
489,-12511.75
490,-12515.0
491,-12462.25
492,-12594.5
493,-12603.0
494,-12642.0
495,-12482.75
496,-12424.5
497,-12374.75
498,-12640.75
499,-12765.25
500,-12609.0
501,-12757.75
502,-12601.0
503,-12397.75
504,-12116.5
505,-12036.0
506,-11940.5
507,-12057.75
508,-12325.25
509,-12287.0
510,-12245.5
511,-12056.0
512,-12063.0
513,-12063.75
514,-12450.75
515,-12403.75
516,-12601.5
517,-12762.5
518,-12733.75
519,-12652.75
520,-12725.5
521,-12614.5
522,-12529.25
523,-12446.5
524,-12661.5
525,-12563.75
526,-12550.0
527,-12650.0
528,-12671.5
529,-12546.75
530,-12678.75
531,-12665.25
532,-12712.25
533,-13125.5
534,-13392.75
